Order_ID,Order_Date,Product,Category,Quantity,Unit_Price,Discount_Pct,Total_Price,Cost,Profit,Customer_Type,Region,Sales_Channel,Payment_Method,Order_Status
ORD-0001,2024-04-14,Wireless Mouse,Electronics,5,49,10,220.5,125,95.5,Returning,North,Mobile App,Credit Card,Completed
ORD-0002,2024-01-28,Bluetooth Speaker,Electronics,4,79,0,316.0,160,156.0,VIP,South,Mobile App,Bank Transfer,Completed
ORD-0003,2024-01-07,Cookbook Deluxe,Books,5,42,0,210.0,90,120.0,Returning,South,Mobile App,Cash,Completed
ORD-0004,2024-04-09,Denim Jacket,Clothing,6,80,20,384.0,210,174.0,VIP,East,In-Store,Cash,Cancelled
ORD-0005,2024-03-21,HDMI Cable 6ft,Electronics,9,18,20,129.6,72,57.6,VIP,East,Mobile App,Cash,Completed
ORD-0006,2024-10-23,Cotton T-Shirt,Clothing,1,25,0,25.0,10,15.0,New,North,Online,Bank Transfer,Completed
ORD-0007,2024-08-02,Business Strategy,Books,3,35,0,105.0,36,69.0,VIP,East,Mobile App,Credit Card,Completed
ORD-0008,2024-10-03,Slim Chinos,Clothing,4,55,20,176.0,80,96.0,Returning,South,Mobile App,Credit Card,Completed
ORD-0009,2024-11-18,USB-C Hub,Electronics,7,59,10,371.7,210,161.7,Returning,South,Mobile App,Bank Transfer,Returned
ORD-0010,2024-09-26,Data Science 101,Books,5,49,25,183.75,100,83.75,Returning,West,Mobile App,Cash,Completed
ORD-0011,2024-04-22,Slim Chinos,Clothing,8,55,5,418.0,160,258.0,New,South,Mobile App,Bank Transfer,Completed
ORD-0012,2025-04-24,HDMI Cable 6ft,Electronics,7,18,0,126.0,56,70.0,New,East,Mobile App,Credit Card,Returned
ORD-0013,2024-06-10,Water Bottle 1L,Sports,6,15,20,72.0,30,42.0,VIP,West,Online,Cash,Completed
ORD-0014,2024-11-01,Slim Chinos,Clothing,2,55,0,110.0,40,70.0,Returning,South,Online,PayPal,Completed
ORD-0015,2024-01-20,Yoga Mat,Sports,10,29,0,290.0,120,170.0,Returning,North,In-Store,PayPal,Completed
ORD-0016,2024-03-11,Slim Chinos,Clothing,2,55,20,88.0,40,48.0,VIP,South,Online,Bank Transfer,Completed
ORD-0017,2025-03-09,Running Shoes,Clothing,9,95,0,855.0,270,585.0,VIP,South,Mobile App,PayPal,Returned
ORD-0018,2025-04-07,Bamboo Cutting Board,Home & Kitchen,6,22,0,132.0,48,84.0,New,North,Online,Credit Card,Completed
ORD-0019,2024-01-08,Laptop Stand,Electronics,9,69,10,558.9,315,243.9,VIP,North,Mobile App,Credit Card,Completed
ORD-0020,2024-10-12,Wireless Mouse,Electronics,6,49,10,264.6,150,114.6,VIP,West,Online,PayPal,Returned
ORD-0021,2025-02-20,Foam Roller,Sports,8,34,20,217.6,120,97.6,New,South,Online,Bank Transfer,Completed
ORD-0022,2024-02-25,Machine Learning,Books,8,59,0,472.0,200,272.0,Returning,North,Online,Cash,Cancelled
ORD-0023,2024-05-23,Bluetooth Speaker,Electronics,4,79,20,252.8,160,92.8,Returning,West,Online,Bank Transfer,Completed
ORD-0024,2024-01-16,HDMI Cable 6ft,Electronics,9,18,25,121.5,72,49.5,New,North,Online,Bank Transfer,Completed
ORD-0025,2024-06-17,Data Science 101,Books,7,49,0,343.0,140,203.0,Returning,West,Online,Cash,Cancelled
ORD-0026,2025-05-13,Business Strategy,Books,7,35,0,245.0,84,161.0,Returning,South,Online,PayPal,Completed
ORD-0027,2024-02-28,Foam Roller,Sports,1,34,0,34.0,15,19.0,Returning,North,Mobile App,PayPal,Completed
ORD-0028,2024-08-28,Yoga Mat,Sports,3,29,5,82.65,36,46.65,VIP,West,Online,PayPal,Completed
ORD-0029,2024-11-19,Yoga Mat,Sports,10,29,25,217.5,120,97.5,VIP,East,Online,Cash,Completed
ORD-0030,2024-11-03,Bamboo Cutting Board,Home & Kitchen,3,22,0,66.0,24,42.0,New,West,In-Store,Credit Card,Completed
ORD-0031,2024-09-28,Foam Roller,Sports,2,34,10,61.2,30,31.2,New,South,In-Store,PayPal,Completed
ORD-0032,2024-11-05,Stainless Bottle,Home & Kitchen,8,28,0,224.0,80,144.0,VIP,North,Mobile App,Cash,Returned
ORD-0033,2024-06-08,Bluetooth Speaker,Electronics,5,79,5,375.25,200,175.25,VIP,East,In-Store,PayPal,Returned
ORD-0034,2024-09-14,Stainless Bottle,Home & Kitchen,5,28,0,140.0,50,90.0,VIP,North,Online,Bank Transfer,Cancelled
ORD-0035,2024-05-13,Coffee Maker,Home & Kitchen,1,89,0,89.0,45,44.0,VIP,East,Online,Bank Transfer,Completed
ORD-0036,2024-02-06,Cookbook Deluxe,Books,1,42,10,37.8,18,19.8,VIP,East,Mobile App,PayPal,Completed
ORD-0037,2024-02-10,Cotton T-Shirt,Clothing,5,25,0,125.0,50,75.0,VIP,East,Online,PayPal,Returned
ORD-0038,2025-02-20,USB-C Hub,Electronics,9,59,0,531.0,270,261.0,New,South,Online,PayPal,Completed
ORD-0039,2025-02-25,Bluetooth Speaker,Electronics,6,79,0,474.0,240,234.0,New,South,In-Store,Credit Card,Completed
